Symbol,Name,Country,Sector,Industry
DISH,DISH Network Corporation Class A Common Stock,United States,Consumer Discretionary,Telecommunications Equipment
DIT,AMCON Distributing Company Common Stock,United States,Consumer Discretionary,Food Distributors
DJCO,Daily Journal Corp. (S.C.) Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment
DK,Delek US Holdings Inc. Common Stock,United States,Energy,Integrated oil Companies
DKDCA,Data Knights Acquisition Corp. Class A Common Stock,United Kingdom,Industrials,Consumer Electronics/Appliances
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,United States,Energy,Oil & Gas Production
DKNG,DraftKings Inc. Class A Common Stock,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
DKS,Dick's Sporting Goods Inc Common Stock,United States,Consumer Discretionary,Other Specialty Stores
DLA,Delta Apparel Inc. Common Stock,United States,Consumer Discretionary,Department/Specialty Retail Stores
DLB,Dolby Laboratories Common Stock,United States,Technology,EDP Services
DLCA,Deep Lake Capital Acquisition Corp. Class A Ordinary Shares,United States,Finance,Business Services
DLCAU,Deep Lake Capital Acquisition Corp. Unit,United States,Finance,Business Services
DLCAW,Deep Lake Capital Acquisition Corp. Warrant,United States,Finance,Business Services
DLHC,DLH Holdings Corp.,United States,Consumer Discretionary,Business Services
DLPN,Dolphin Entertainment Inc. Common Stock,United States,Technology,Interactive Media
DLR,Digital Realty Trust Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
DLTH,Duluth Holdings Inc. Class B Common Stock,United States,Consumer Discretionary,Department/Specialty Retail Stores
DLTR,Dollar Tree Inc. Common Stock,United States,Consumer Discretionary,Department/Specialty Retail Stores
DLX,Deluxe Corporation Common Stock,United States,Consumer Discretionary,Advertising
DMF,BNY Mellon Municipal Income Inc. Common Stock,United States,Finance,Finance/Investors Services
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,United States,Energy,Oil & Gas Production
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
DMRC,Digimarc Corporation Common Stock,United States,Technology,EDP Services
DMS,Digital Media Solutions Inc. Class A Ordinary Shares,United States,Consumer Discretionary,Advertising
DMTK,DermTech Inc. Common Stock,United States,Health Care,Managed Health Care
DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNAD,Social Capital Suvretta Holdings Corp. IV Class A Ordinary Shares,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DNAY,Codex DNA Inc. Common Stock,United States,Health Care,Medical Specialities
DNB,Dun & Bradstreet Holdings Inc. Common Stock,United States,Technology,Internet and Information Services
DNLI,Denali Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNP,DNP Select Income Fund Inc. Common Stock,United States,Finance,Investment Managers
DNUT,Krispy Kreme Inc. Common Stock,United States,Consumer Discretionary,Specialty Foods
DO,Diamond Offshore Drilling Inc. Common Stock,United States,Energy,Oil & Gas Production
DOC,Physicians Realty Trust Common Shares of Beneficial Interest,United States,Real Estate,Real Estate Investment Trusts
DOCN,DigitalOcean Holdings Inc. Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment
DOCU,DocuSign Inc. Common Stock,United States,Technology,EDP Services
DOGZ,Dogness (International) Corporation Class A Common Stock,China,Consumer Discretionary,Miscellaneous manufacturing industries
DOMO,Domo Inc. Class B Common Stock,United States,Technology,Computer Software: Prepackaged Software
DORM,Dorman Products Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
DOV,Dover Corporation Common Stock,United States,Industrials,Industrial Machinery/Components
DOX,Amdocs Limited Ordinary Shares,Guernsey,Technology,EDP Services
DOYU,DouYu International Holdings Limited ADS,China,Technology,Computer Software: Programming Data Processing
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,United States,Finance,Trusts Except Educational Religious and Charitable
DPRO,Draganfly Inc. Common Shares,Canada,Consumer Discretionary,Electronic Components
DPZ,Domino's Pizza Inc Common Stock,United States,Consumer Discretionary,Food Distributors
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,China,Technology,Semiconductors
DRCT,Direct Digital Holdings Inc. Class A Common Stock,United States,Consumer Discretionary,Advertising
DRCTW,Direct Digital Holdings Inc. Warrant,United States,Consumer Discretionary,Advertising
DRD,DRDGOLD Limited American Depositary Shares,South Africa,Basic Materials,Precious Metals
DRE,Duke Realty Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts
DRH,Diamondrock Hospitality Company Common Stock,United States,Real Estate,Real Estate Investment Trusts
DRI,Darden Restaurants Inc. Common Stock,United States,Consumer Discretionary,Restaurants
DRIO,DarioHealth Corp. Common Stock,Israel,Health Care,Medical/Dental Instruments
DRMA,Dermata Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DRMAW,Dermata Therapeutics Inc. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DRQ,Dril-Quip Inc. Common Stock,United States,Industrials,Metal Fabrications
DRRX,DURECT Corporation Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DRTS,Alpha Tau Medical Ltd. Ordinary Shares,Israel,Finance,Business Services
DRTSW,Alpha Tau Medical Ltd. Warrant,Israel,Finance,Business Services
DS,Drive Shack Inc.,United States,Consumer Discretionary,Movies/Entertainment
DSEY,Diversey Holdings Ltd. Ordinary Shares,United States,Consumer Discretionary,Specialty Chemicals
DSGN,Design Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DSGR,Distribution Solutions Group Inc. Common Stock,United States,Industrials,Industrial Machinery/Components
DSM,BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock,United States,Finance,Investment Managers
DSP,Viant Technology Inc. Class A Common Stock,United States,Technology,EDP Services
DSU,Blackrock Debt Strategies Fund Inc. Common Stock,United States,Finance,Finance Companies
DSWL,Deswell Industries Inc. Common Shares,Macau,Industrials,Plastic Products
DSX,Diana Shipping inc. common stock,Greece,Consumer Discretionary,Marine Transportation
DT,Dynatrace Inc. Common Stock,United States,Technology,EDP Services
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,United States,Utilities,Electric Utilities: Central
DTE,DTE Energy Company Common Stock,United States,Utilities,Electric Utilities: Central
DTF,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,United States,Finance,Investment Managers
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,United States,Utilities,Electric Utilities: Central
DTIL,Precision BioSciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DTOC,Digital Transformation Opportunities Corp. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
DTOCU,Digital Transformation Opportunities Corp. Units,United States,Industrials,Consumer Electronics/Appliances
DTOCW,Digital Transformation Opportunities Corp. Warrant,United States,Industrials,Consumer Electronics/Appliances
DTP,DTE Energy Company 6.25% Corporate Units,United States,Utilities,Electric Utilities: Central
DTRT,DTRT Health Acquisition Corp. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
DTRTU,DTRT Health Acquisition Corp. Unit,United States,Industrials,Consumer Electronics/Appliances
DTRTW,DTRT Health Acquisition Corp. Warrant,United States,Industrials,Consumer Electronics/Appliances
DTSS,Datasea Inc. Common Stock,China,Technology,Retail: Computer Software & Peripheral Equipment
DTST,Data Storage Corporation Common Stock,United States,Technology,EDP Services
DTSTW,Data Storage Corporation Warrant,United States,Technology,EDP Services
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,United States,Utilities,Electric Utilities: Central
DUET,DUET Acquisition Corp. Class A Common Stock,Malaysia,Miscellaneous,Other Pharmaceuticals
DUETU,DUET Acquisition Corp. Unit,Malaysia,Miscellaneous,Other Pharmaceuticals
DUK,Duke Energy Corporation (Holding Company) Common Stock,United States,Utilities,Power Generation
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,United States,Utilities,Power Generation
DUNE,Dune Acquisition Corporation Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
DUNEU,Dune Acquisition Corporation Unit,United States,Industrials,Consumer Electronics/Appliances
DUNEW,Dune Acquisition Corporation Warrant,United States,Industrials,Consumer Electronics/Appliances
DUO,Fangdd Network Group Ltd. American Depositary Shares,China,Technology,Computer Software: Programming Data Processing
DUOL,Duolingo Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
DUOT,Duos Technologies Group Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
DVA,DaVita Inc. Common Stock,United States,Health Care,Medical/Nursing Services
DVAX,Dynavax Technologies Corporation Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
DVN,Devon Energy Corporation Common Stock,United States,Energy,Oil & Gas Production
DWAC,Digital World Acquisition Corp. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
DWACU,Digital World Acquisition Corp. Units,United States,Industrials,Consumer Electronics/Appliances
DWACW,Digital World Acquisition Corp. Warrants,United States,Industrials,Consumer Electronics/Appliances
DWSN,Dawson Geophysical Company Common Stock,United States,Energy,Oil & Gas Production
DX,Dynex Capital Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
DXCM,DexCom Inc. Common Stock,United States,Health Care,Medical Specialities
DXF,Dunxin Financial Holdings Limited American Depositary Shares,China,Consumer Discretionary,Apparel
DXLG,Destination XL Group Inc. Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DXPE,DXP Enterprises Inc. Common Stock,United States,Industrials,Industrial Machinery/Components
DXR,Daxor Corporation Common Stock,United States,Health Care,Medical/Dental Instruments
DXYN,Dixie Group Inc. (The) Common Stock,United States,Consumer Discretionary,Home Furnishings
DY,Dycom Industries Inc. Common Stock,United States,Industrials,Water Sewer Pipeline Comm & Power Line Construction
DYAI,Dyadic International Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DYN,Dyne Therapeutics Inc. Common Stock,United States,Health Care," Medicinal Chemicals and Botanical Products "
DYNT,Dynatronics Corporation Common Stock,United States,Health Care,Medical/Dental Instruments
DZSI,DZS Inc. Common Stock,United States,Utilities,Telecommunications Equipment
E,ENI S.p.A. Common Stock,Italy,Energy,Oil & Gas Production
EA,Electronic Arts Inc. Common Stock,United States,Consumer Discretionary,Recreational Games/Products/Toys
EAC,Edify Acquisition Corp. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
EAD,Allspring Income Opportunities Fund Common Shares,United States,Finance,Finance/Investors Services
EAF,GrafTech International Ltd. Common Stock,United States,Consumer Discretionary,Metal Fabrications
EAR,Eargo Inc. Common Stock,United States,Health Care,Industrial Specialties
EARN,Ellington Residential Mortgage REIT Common Shares of Beneficial Interest,United States,Real Estate,Real Estate Investment Trusts
EAST,Eastside Distilling Inc. Common Stock,United States,Consumer Staples,Beverages (Production/Distribution)
EAT,Brinker International Inc. Common Stock,United States,Consumer Discretionary,Restaurants
EB,Eventbrite Inc. Class A Common Stock,United States,Technology,EDP Services
EBAC,European Biotech Acquisition Corp. Class A Ordinary Shares,Netherlands,Finance,Business Services
EBACU,European Biotech Acquisition Corp. Units,Netherlands,Finance,Business Services
EBACW,European Biotech Acquisition Corp. Warrant,Netherlands,Finance,Business Services
EBAY,eBay Inc. Common Stock,United States,Consumer Discretionary,Catalog/Specialty Distribution
EBC,Eastern Bankshares Inc. Common Stock,United States,Finance,Major Banks
EBET,EBET INC. Common Stock,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
EBF,Ennis Inc. Common Stock,United States,Consumer Discretionary,Office Equipment/Supplies/Services
EBIX,Ebix Inc. Common Stock,United States,Technology,EDP Services
EBMT,Eagle Bancorp Montana Inc. Common Stock,United States,Finance,Savings Institutions
EBON,Ebang International Holdings Inc. Class A Ordinary Shares,China,Technology,Semiconductors
EBS,Emergent Biosolutions Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EBTC,Enterprise Bancorp Inc Common Stock,United States,Finance,Major Banks
EC,Ecopetrol S.A. American Depositary Shares,Colombia,Energy,Oil & Gas Production
ECBK,ECB Bancorp Inc. Common Stock,United States,Finance,Banks
"ECC           ",Eagle Point Credit Company Inc. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
ECCC,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,United States,Finance,Trusts Except Educational Religious and Charitable
ECCV,Eagle Point Credit Company Inc. 5.375% Notes due 2029,United States,Finance,Trusts Except Educational Religious and Charitable
ECCW,Eagle Point Credit Company Inc. 6.75% Notes due 2031,United States,Finance,Trusts Except Educational Religious and Charitable
ECCX,Eagle Point Credit Company Inc. 6.6875% Notes due 2028,United States,Finance,Trusts Except Educational Religious and Charitable
ECF,Ellsworth Growth and Income Fund Ltd.,United States,Finance,Finance/Investors Services
ECL,Ecolab Inc. Common Stock,United States,Consumer Discretionary,Package Goods/Cosmetics
"ECOM          ",ChannelAdvisor Corporation Common Stock,United States,Technology,Computer Software: Prepackaged Software
ECOR,electroCore Inc. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ECVT,Ecovyst Inc. Common Stock,United States,Industrials,Major Chemicals
ED,Consolidated Edison Inc. Common Stock,United States,Utilities,Power Generation
EDAP,EDAP TMS S.A. American Depositary Shares,France,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDBL,Edible Garden AG Incorporated Common Stock,United States,Industrials,Agricultural Chemicals
EDBLW,Edible Garden AG Incorporated Warrant,United States,Industrials,Agricultural Chemicals
EDD,Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Common Stock,United States,Finance,Finance Companies
EDF,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,United States,Finance,Investment Managers
EDI,Virtus Stone Harbor Emerging Markets Total Income Fund Common Shares of Beneficial Interest,United States,Finance,Finance Companies
EDIT,Editas Medicine Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,Argentina,Utilities,Electric Utilities: Central
EDRY,"EuroDry Ltd. Common Shares ",Greece,Consumer Discretionary,Marine Transportation
EDTK,Skillful Craftsman Education Technology Limited Ordinary Share,China,Real Estate,Other Consumer Services
EDTX,EdtechX Holdings Acquisition Corp. II Class A common stock,United Kingdom,Industrials,Consumer Electronics/Appliances
EDTXW,EdtechX Holdings Acquisition Corp. II Warrant,United Kingdom,Industrials,Consumer Electronics/Appliances
EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands),China,Consumer Discretionary,Other Consumer Services
EDUC,Educational Development Corporation Common Stock,United States,Consumer Discretionary,Books
EEA,The European Equity Fund Inc. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
EEFT,Euronet Worldwide Inc. Common Stock,United States,Technology,EDP Services
EEIQ,EpicQuest Education Group International Limited Common Stock,United States,Real Estate,Other Consumer Services
EEX,Emerald Holding Inc. Common Stock,United States,Consumer Discretionary,Advertising
EFC,"Ellington Financial Inc. Common Stock ",United States,Real Estate,Real Estate Investment Trusts
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
EFOI,Energy Focus Inc. Common Stock,United States,Consumer Discretionary,Building Products
EFR,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
EFSC,Enterprise Financial Services Corporation Common Stock,United States,Finance,Major Banks
EFSCP,Enterprise Financial Services Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,United States,Finance,Major Banks
EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,United States,Finance,Finance Companies
EFTR,eFFECTOR Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EFTRW,eFFECTOR Therapeutics Inc. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EFX,Equifax Inc. Common Stock,United States,Consumer Discretionary,Business Services
EGAN,eGain Corporation Common Stock,United States,Technology,Computer Software: Prepackaged Software
EGBN,Eagle Bancorp Inc. Common Stock,United States,Finance,Major Banks
EGF,Blackrock Enhanced Government Fund Inc. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
EGHT,8x8 Inc Common Stock,United States,Technology,EDP Services
EGIO,Edgio Inc. Common Stock,United States,Technology,Interactive Media
EGLE,Eagle Bulk Shipping Inc. Common Stock,United States,Consumer Discretionary,Marine Transportation
EGLX,Enthusiast Gaming Holdings Inc. Common Stock,Canada,Miscellaneous,Other Pharmaceuticals
EGP,EastGroup Properties Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
EGRX,Eagle Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EGY,VAALCO Energy Inc.  Common Stock,United States,Energy,Oil & Gas Production
EH,EHang Holdings Limited ADS,China,Consumer Discretionary,Air Freight/Delivery Services
EHC,Encompass Health Corporation Common Stock,United States,Health Care,Medical Specialities
EHI,Western Asset Global High Income Fund Inc Common Stock,United States,Finance,Investment Managers
EHTH,eHealth Inc. Common Stock,United States,Finance,Specialty Insurers
EIG,Employers Holdings Inc Common Stock,United States,Finance,Property-Casualty Insurers
EIGR,Eiger BioPharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,United States,Finance,Finance/Investors Services
EIX,Edison International Common Stock,United States,Utilities,Electric Utilities: Central
EJH,E-Home Household Service Holdings Limited Ordinary Shares,China,Consumer Discretionary,Other Consumer Services
EKSO,Ekso Bionics Holdings Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
EL,Estee Lauder Companies Inc. (The) Common Stock,United States,Consumer Discretionary,Package Goods/Cosmetics
ELA,Envela Corporation Common Stock,United States,Consumer Discretionary,Consumer Specialties
ELAN,Elanco Animal Health Incorporated Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ELAT,Elanco Animal Health Incorporated 5.00% Tangible Equity Units,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ELDN,Eledon Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ELEV,Elevation Oncology Inc. Common stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ELF,e.l.f. Beauty Inc. Common Stock,United States,Consumer Discretionary,Package Goods/Cosmetics
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),Israel,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ELOX,Eloxx Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),Brazil,Utilities,Electric Utilities: Central
ELS,Equity Lifestyle Properties Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
ELSE,Electro-Sensors Inc. Common Stock,United States,Industrials,Industrial Machinery/Components
ELTK,Eltek Ltd. Ordinary Shares,Israel,Technology,Electrical Products
ELV,Elevance Health Inc. Common Stock,United States,Health Care,Medical Specialities
ELVT,Elevate Credit Inc. Common Stock,United States,Finance,Finance Companies
ELY,Callaway Golf Company Common Stock,United States,Consumer Discretionary,Recreational Games/Products/Toys
ELYM,Eliem Therapeutics Inc Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ELYS,Elys Game Technology Corp. Common Stock,United States,Consumer Discretionary,Movies/Entertainment
EM,Smart Share Global Limited American Depositary Shares,China,Consumer Discretionary,Other Consumer Services
EMAN,eMagin Corporation Common Stock,United States,Technology,Industrial Machinery/Components
EMBC,Embecta Corp. Common Stock,United States,Health Care," Medicinal Chemicals and Botanical Products "
EMBK,Embark Technology Inc. Common Stock,United States,Technology,EDP Services
EMBKW,Embark Technology Inc. Warrants,United States,Technology,EDP Services
EMCF,Emclaire Financial Corp Common Stock,United States,Finance,Major Banks
EMD,Western Asset Emerging Markets Debt Fund Inc Common Stock,United States,Finance,Finance/Investors Services
EME,EMCOR Group Inc. Common Stock,United States,Industrials,Engineering & Construction
EMF,Templeton Emerging Markets Fund Common Stock,United States,Finance,Finance/Investors Services
EMKR,EMCORE Corporation Common Stock,United States,Technology,Semiconductors
EML,Eastern Company (The) Common Stock,United States,Industrials,Industrial Specialties
EMLD,FTAC Emerald Acquisition Corp. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
EMLDU,FTAC Emerald Acquisition Corp. Unit,United States,Industrials,Consumer Electronics/Appliances
EMLDW,FTAC Emerald Acquisition Corp. Warrant,United States,Industrials,Consumer Electronics/Appliances
EMN,Eastman Chemical Company Common Stock,United States,Industrials,Major Chemicals
EMO,ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock,United States,Finance,Investment Managers
EMR,Emerson Electric Company Common Stock,United States,Industrials,Industrial Machinery/Components
ENB,Enbridge Inc Common Stock,Canada,Energy,Oil & Gas Production
ENBA,Enbridge Inc 6.375% Fixed-to-Floating Rate Subordinated Notes Series 2018-B due 2078,Canada,Energy,Oil & Gas Production
ENER,Accretion Acquisition Corp. Common Stock,United States,Industrials,Consumer Electronics/Appliances
ENERW,Accretion Acquisition Corp. Warrant,United States,Industrials,Consumer Electronics/Appliances
ENG,ENGlobal Corporation Common Stock,United States,Consumer Discretionary,Military/Government/Technical
ENJ,Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052,United States,Utilities,Power Generation
ENLV,Enlivex Therapeutics Ltd. Ordinary Shares,Israel,Health Care,Biotechnology: Pharmaceutical Preparations
ENOB,Enochian Biosciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ENOV,Enovis Corporation Common Stock,United States,Industrials,Fluid Controls
ENPH,Enphase Energy Inc. Common Stock,United States,Technology,Electrical Products
ENR,Energizer Holdings Inc. Common Stock,United States,Industrials,Metal Fabrications
ENS,EnerSys Common Stock,United States,Consumer Discretionary,Telecommunications Equipment
ENSC,Ensysce Biosciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ENSG,The Ensign Group Inc. Common Stock,United States,Health Care,Hospital/Nursing Management
ENSV,Enservco Corporation Common Stock,United States,Energy,Oilfield Services/Equipment
ENTA,Enanta Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ENTG,Entegris Inc. Common Stock,United States,Technology,Semiconductors
ENTX,Entera Bio Ltd. Ordinary Shares,Israel,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENTXW,Entera Bio Ltd. Warrant,Israel,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENV,Envestnet Inc Common Stock,United States,Technology,EDP Services
ENVA,Enova International Inc. Common Stock,United States,Finance,Finance: Consumer Services
ENVB,Enveric Biosciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ENVX,Enovix Corporation Common Stock,United States,Industrials,Industrial Machinery/Components
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,United States,Finance,Finance/Investors Services
ENZ,Enzo Biochem Inc. Common Stock ($0.01 Par Value),United States,Health Care,Medical Specialities
EOD,Allspring Global Dividend Opportunity Fund Common Shares of Beneficial Interest,United States,Finance,Investment Managers
EOG,EOG Resources Inc. Common Stock,United States,Energy,Oil & Gas Production
EOI,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,United States,Real Estate,Real Estate Investment Trusts
EOLS,Evolus Inc. Common Stock,United States,Health Care," Medicinal Chemicals and Botanical Products "
EOSE,Eos Energy Enterprises Inc. Class A Common Stock,United States,Technology,Electronic Components
EOSEW,Eos Energy Enterprises Inc. Warrant,United States,Technology,Electronic Components
EOT,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,United States,Finance,Trusts Except Educational Religious and Charitable
EP,Empire Petroleum Corporation Common Stock,United States,Energy,Oil & Gas Production
EPAC,Enerpac Tool Group Corp. Common Stock,United States,Industrials,Industrial Machinery/Components
EPAM,EPAM Systems Inc. Common Stock,United States,Technology,EDP Services
EPD,Enterprise Products Partners L.P. Common Stock,United States,Utilities,Natural Gas Distribution
EPHY,Epiphany Technology Acquisition Corp. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
EPHYU,Epiphany Technology Acquisition Corp. Unit,United States,Industrials,Consumer Electronics/Appliances
EPHYW,Epiphany Technology Acquisition Corp. Warrant,United States,Industrials,Consumer Electronics/Appliances
EPM,Evolution Petroleum Corporation Inc. Common Stock,United States,Energy,Oil & Gas Production
EPOW,Sunrise New Energy Co. Ltd Ordinary Shares,China,Consumer Discretionary,Business Services
EPR,EPR Properties Common Stock,United States,Real Estate,Real Estate Investment Trusts
EPRT,Essential Properties Realty Trust Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
EPSN,Epsilon Energy Ltd. Common Share,United States,Energy,Oil & Gas Production
EQ,Equillium Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EQBK,Equity Bancshares Inc. Class A Common Stock,United States,Finance,Finance: Consumer Services
EQC,Equity Commonwealth Common Shares of Beneficial Interest,United States,Real Estate,Real Estate Investment Trusts
EQD,Equity Distribution Acquisition Corp. Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
EQIX,Equinix Inc. Common Stock REIT,United States,Real Estate,Real Estate Investment Trusts
EQNR,Equinor ASA,Norway,Energy,Integrated oil Companies
EQOS,EQONEX LIMITED Ordinary Shares,Singapore,Consumer Discretionary,Business Services
EQR,Equity Residential Common Shares of Beneficial Interest,United States,Real Estate,Real Estate Investment Trusts
EQRX,EQRx Inc.  Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EQRXW,EQRx Inc. Warrant,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EQS,Equus Total Return Inc. Common Stock,United States,Finance,Finance/Investors Services
EQT,EQT Corporation Common Stock,United States,Energy,Oil & Gas Production
ERAS,Erasca Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ERC,Allspring Multi-Sector Income Fund Common Stock,United States,Finance,Finance/Investors Services
ERES,East Resources Acquisition Company Class A Common Stock,United States,Industrials,Consumer Electronics/Appliances
ERESU,East Resources Acquisition Company Unit,United States,Industrials,Consumer Electronics/Appliances
ERESW,East Resources Acquisition Company Warrant,United States,Industrials,Consumer Electronics/Appliances
ERIC,Ericsson American Depositary Shares,Sweden,Technology,Computer Software: Prepackaged Software
ERIE,Erie Indemnity Company Class A Common Stock,United States,Finance,Specialty Insurers
ERII,Energy Recovery Inc. Common Stock,United States,Technology,Industrial Machinery/Components
ERJ,Embraer S.A. Common Stock,Brazil,Industrials,Aerospace
ERYP,Erytech Pharma S.A. American Depositary Shares,France,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ES,Eversource Energy (D/B/A) Common Stock,United States,Utilities,Electric Utilities: Central
ESCA,Escalade Incorporated Common Stock,United States,Consumer Discretionary,Recreational Games/Products/Toys
ESE,ESCO Technologies Inc. Common Stock,United States,Telecommunications,Telecommunications Equipment
ESEA,Euroseas Ltd. Common Stock (Marshall Islands),Greece,Consumer Discretionary,Marine Transportation
